RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM1,,J24 - D104,CHX  J24 - VF ACQUISITION D104,,,16,-3.7,38,57,0.12,0.1,20,-4,11,8,15,0.33,0.04,5,0.03,0.03,166,46
PM2,,J24 - D172,CHX  J24 - VF SILVER BOW D172,,,15,-2.3,50,80,0.19,0.41,20,-4,12,9,15,0.33,0.03,14,0.08,0.01,175,49
PM3,,J24 - D706,CHX  J24 - DOING RIGHT,,,15,-3.2,38,59,0.13,-0.05,22,-6,9,7,15,0.3,0.04,4,-0.11,0.01,167,47
PM4,,J24 - 3036,CHX  J24 - WOOD EMMETT 3036,,,18,-4.1,38,55,0.11,0.22,19,-4,9,10,16,0.23,0.04,3,-0.08,0.02,170,45
PM5,,J24 - 2385,CHX  J24 - ODOHERTY   2385,,,15,-2.6,44,65,0.13,0.42,21,-5,7,8,15,0.2,0.03,3,-0.13,0,154,45
PM6,,J24 - 8355,CHX  J24 - FEDDES LIBERATION D108- 8355,,,15,-3.2,44,70,0.16,0.48,21,-6,9,8,16,0.46,0.06,13,-0.08,0.01,175,48
PM7,,J24 - 8269,CHX  J24 - FEDDES DEFENDER Y17-8269,,,16,-3,44,66,0.14,0.61,20,-6,11,8,16,0.45,0.02,2,-0.04,0.01,180,47
PM8,,P48 - D104,CHX  P48 - VF ACQUISITION D104,,,14,-1.8,48,71,0.14,0.33,17,-2,12,6,16,0.32,0.05,5,-0.03,0.02,175,47
PM9,,P48 - D172,CHX  P48 - VF SILVER BOW D172,,,12,-0.4,60,93,0.21,0.64,17,-1,13,7,16,0.32,0.05,14,0.02,0.01,184,49
PM10,,P48 - D706,CHX  P48 - DOING RIGHT,,,13,-1.3,48,72,0.15,0.18,19,-4,11,6,17,0.28,0.05,3,-0.16,0.01,176,47
PM11,,P48 - 3036,CHX  P48 - WOOD EMMETT 3036,,,16,-2.2,48,69,0.13,0.46,16,-1,10,9,17,0.22,0.06,3,-0.14,0.01,179,45
PM12,,P48 - 2385,CHX  P48 - ODOHERTY   2385,,,12,-0.7,54,79,0.15,0.65,18,-3,8,6,16,0.19,0.04,3,-0.19,0,163,46
PM13,,P48 - 8355,CHX  P48 - FEDDES LIBERATION D108- 8355,,,13,-1.2,54,83,0.18,0.71,19,-3,10,6,18,0.45,0.07,13,-0.14,0.01,184,48
PM14,,P48 - 8269,CHX  P48 - FEDDES DEFENDER Y17-8269,,,14,-1.1,54,80,0.16,0.84,17,-3,12,7,18,0.44,0.04,1,-0.09,0.01,189,47
PM15,,P2 - D104,CHX  P2 - VF ACQUISITION D104,,,15,-2.5,42,60,0.12,0.16,17,-4,11,7,17,0.32,0.06,4,-0.04,0.03,176,46
PM16,,P2 - D172,CHX  P2 - VF SILVER BOW D172,,,14,-1.2,54,83,0.18,0.48,17,-3,12,8,16,0.33,0.05,12,0.02,0.01,185,48
PM17,,P2 - D706,CHX  P2 - DOING RIGHT,,,14,-2.1,41,62,0.13,0.02,19,-5,10,7,17,0.29,0.05,2,-0.17,0.01,177,47
PM18,,P2 - 3036,CHX  P2 - WOOD EMMETT 3036,,,17,-3,42,58,0.1,0.29,16,-3,9,9,17,0.23,0.06,2,-0.14,0.02,180,45
PM19,,P2 - 2385,CHX  P2 - ODOHERTY   2385,,,14,-1.5,48,68,0.13,0.49,18,-5,7,7,17,0.19,0.04,2,-0.19,0,164,45
PM20,,P2 - 8355,CHX  P2 - FEDDES LIBERATION D108- 8355,,,14,-2,48,73,0.15,0.55,18,-5,9,7,18,0.46,0.08,12,-0.14,0.01,185,47
PM21,,P2 - 8269,CHX  P2 - FEDDES DEFENDER Y17-8269,,,15,-2,48,69,0.14,0.68,16,-5,12,7,18,0.44,0.04,0,-0.1,0.01,190,46
PM22,,D71 - D104,CHX    D71 - VF ACQUISITION D104,,,14,-1.5,46,69,0.14,0.2,18,-5,11,6,14,0.34,0.06,5,0,0.03,157,47
PM23,,D71 - D172,CHX    D71 - VF SILVER BOW D172,,,12,-0.1,58,91,0.2,0.51,18,-4,12,7,14,0.35,0.05,14,0.05,0.02,165,49
PM24,,D71 - D706,CHX    D71 - DOING RIGHT,,,12,-1,46,70,0.15,0.05,20,-6,10,6,15,0.31,0.05,4,-0.14,0.01,158,48
PM25,,D71 - 3036,CHX    D71 - WOOD EMMETT 3036,,,15,-1.9,46,67,0.13,0.33,17,-4,9,8,15,0.25,0.06,3,-0.11,0.02,161,46
PM26,,D71 - 2385,CHX    D71 - ODOHERTY   2385,,,12,-0.4,53,77,0.15,0.52,19,-6,8,6,14,0.22,0.04,3,-0.16,0.01,145,46
PM27,,D71 - 8355,CHX    D71 - FEDDES LIBERATION D108- 8355,,,13,-1,53,81,0.18,0.58,20,-6,9,6,15,0.48,0.08,13,-0.11,0.01,165,49
PM28,,D71 - 8269,CHX    D71 - FEDDES DEFENDER Y17-8269,,,14,-0.9,52,77,0.16,0.71,18,-6,12,7,15,0.46,0.04,2,-0.07,0.02,171,48
PM29,,E7 - D104,CHX    E7 - VF ACQUISITION D104,,,14,-2,44,64,0.13,0.28,18,-2,12,6,18,0.32,0.05,5,0,0.02,188,46
PM30,,E7 - D172,CHX    E7 - VF SILVER BOW D172,,,12,-0.6,56,87,0.19,0.59,18,-1,13,7,18,0.33,0.04,14,0.05,0.01,196,49
PM31,,E7 - D706,CHX    E7 - DOING RIGHT,,,13,-1.5,44,66,0.14,0.13,20,-4,11,5,19,0.29,0.04,4,-0.14,0.01,188,47
PM32,,E7 - 3036,CHX    E7 - WOOD EMMETT 3036,,,16,-2.4,44,62,0.12,0.41,17,-1,10,8,19,0.23,0.05,3,-0.11,0.01,191,45
PM33,,E7 - 2385,CHX    E7 - ODOHERTY   2385,,,12,-0.9,50,72,0.14,0.6,19,-3,8,6,18,0.19,0.04,3,-0.16,0,175,45
PM34,,E7 - 8355,CHX    E7 - FEDDES LIBERATION D108- 8355,,,13,-1.5,50,77,0.17,0.66,19,-3,10,6,20,0.46,0.07,13,-0.11,0.01,196,48
PM35,,E7 - 8269,CHX    E7 - FEDDES DEFENDER Y17-8269,,,14,-1.4,50,73,0.15,0.79,18,-4,12,6,20,0.44,0.03,2,-0.07,0.01,201,47
PM36,,F3 - D104,CHX    F3 - VF ACQUISITION D104,,,14,-1.4,45,65,0.12,0.01,16,-2,12,6,17,0.31,0.05,5,-0.01,0.02,183,47
PM37,,F3 - D172,CHX    F3 - VF SILVER BOW D172,,,12,-0.1,57,87,0.19,0.33,16,-2,13,7,17,0.31,0.04,13,0.05,0.01,191,49
PM38,,F3 - D706,CHX    F3 - DOING RIGHT,,,13,-0.9,45,66,0.13,-0.14,18,-4,10,6,18,0.28,0.04,3,-0.14,0.01,183,47
PM39,,F3 - 3036,CHX    F3 - WOOD EMMETT 3036,,,16,-1.9,45,63,0.11,0.14,15,-2,10,8,18,0.22,0.05,3,-0.11,0.01,186,45
PM40,,F3 - 2385,CHX    F3 - ODOHERTY   2385,,,12,-0.4,52,73,0.13,0.33,17,-3,8,6,17,0.18,0.03,3,-0.16,0,170,46
PM41,,F3 - 8355,CHX    F3 - FEDDES LIBERATION D108- 8355,,,13,-0.9,52,78,0.16,0.4,18,-4,9,6,19,0.44,0.07,13,-0.11,0,191,48
PM42,,F3 - 8269,CHX    F3 - FEDDES DEFENDER Y17-8269,,,14,-0.8,51,74,0.14,0.52,16,-4,12,7,19,0.43,0.03,1,-0.07,0.01,196,47
PM43,,G50 - D104,CHX    G50 - VF ACQUISITION D104,,,13,-1.2,45,68,0.14,0.28,20,-2,11,6,19,0.31,0.05,5,-0.03,0.02,186,47
PM44,,G50 - D172,CHX    G50 - VF SILVER BOW D172,,,11,0.2,57,90,0.2,0.6,20,-1,12,7,18,0.32,0.04,13,0.02,0.01,194,49
PM45,,G50 - D706,CHX    G50 - DOING RIGHT,,,11,-0.7,45,69,0.15,0.14,22,-4,9,5,19,0.28,0.05,3,-0.16,0.01,187,47
PM46,,G50 - 3036,CHX    G50 - WOOD EMMETT 3036,,,15,-1.6,45,66,0.13,0.41,19,-1,9,8,19,0.22,0.05,3,-0.14,0.01,190,45
PM47,,G50 - 2385,CHX    G50 - ODOHERTY   2385,,,11,-0.1,52,76,0.15,0.61,21,-3,7,6,18,0.19,0.04,3,-0.19,0,174,46
PM48,,G50 - 8355,CHX    G50 - FEDDES LIBERATION D108- 8355,,,12,-0.7,52,80,0.18,0.67,21,-3,9,6,20,0.44,0.07,13,-0.14,0,195,48
PM49,,G50 - 8269,CHX    G50 - FEDDES DEFENDER Y17-8269,,,13,-0.6,51,76,0.16,0.79,20,-3,11,6,20,0.44,0.03,1,-0.09,0.01,200,47
PM50,,G24 - D104,CHX    G24 - VF ACQUISITION D104,,,14,-2.2,44,66,0.13,0.47,21,-2,11,7,17,0.31,0.05,7,0,0.02,174,46
PM51,,G24 - D172,CHX    G24 - VF SILVER BOW D172,,,12,-0.8,56,88,0.2,0.78,22,-2,12,8,16,0.32,0.04,16,0.05,0.01,182,48
PM52,,G24 - D706,CHX    G24 - DOING RIGHT,,,13,-1.7,44,67,0.15,0.32,24,-4,10,7,17,0.28,0.05,6,-0.13,0.01,175,46
