RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
PM1,,K06 - M501,HHOLLK06 - BECKTON JET M501 P3,,,122,16,-4.3,46,67,0.14,0.03,26,-7,10,8,20,0.38,0.04,7,-0.11,0,88,34
PM2,,K06 - 4454M,HHOLLK06 - LSF CJR PRESIDENT 4454M,,,152,13,-4.4,47,68,0.14,0.09,29,-4,10,8,23,0.6,0,7,0,0,105,48
PM3,,K06 - N295,HHOLLK06 - WST WINFIELDN295,,,133,16,-3.7,49,76,0.17,0.17,27,-6,10,8,21,0.33,0.02,16,0.07,0.01,90,42
PM4,,K06 - M390,HHOLLK06 - BIEBER PRIORITY M390,,,132,17,-3.9,49,75,0.16,0.26,27,-6,10,9,20,0.52,0.05,11,0.06,0.02,87,45
PM5,,K06 - N33,HHOLLK06 - HHOLL N33,,,124,14,-3.2,43,63,0.12,0.05,27,-7,10,8,20,0.35,-0.03,6,0.01,-0.01,90,33
PM6,,K06 - N38,HHOLLK06 - HHOLL N38,,,134,14,-2.8,50,75,0.16,0.24,26,-5,10,8,20,0.43,-0.01,13,0.04,-0.01,91,43
PM7,,L10 - M501,HHOLLL10 - BECKTON JET M501 P3,,,140,15,-3.4,50,73,0.14,0.04,25,-9,11,8,21,0.4,0.04,9,-0.08,0.01,104,37
PM8,,L10 - 4454M,HHOLLL10 - LSF CJR PRESIDENT 4454M,,,170,13,-3.5,51,74,0.14,0.1,28,-6,11,8,25,0.62,0,9,0.03,0,120,50
PM9,,L10 - N295,HHOLLL10 - WST WINFIELDN295,,,150,15,-2.8,53,81,0.18,0.18,26,-8,11,8,22,0.35,0.03,17,0.11,0.01,106,44
PM10,,L10 - M390,HHOLLL10 - BIEBER PRIORITY M390,,,149,17,-3,53,81,0.17,0.27,26,-8,11,9,21,0.54,0.05,13,0.09,0.03,102,47
PM11,,L10 - N33,HHOLLL10 - HHOLL N33,,,141,14,-2.2,48,69,0.13,0.06,25,-9,10,8,22,0.37,-0.03,7,0.04,0,106,35
PM12,,L10 - N38,HHOLLL10 - HHOLL N38,,,152,13,-1.9,54,80,0.16,0.25,25,-7,11,8,22,0.45,-0.01,15,0.08,-0.01,107,46
PM13,,L35 - M501,HHOLLL35 - BECKTON JET M501 P3,,,120,15,-3.5,49,72,0.14,0.16,32,-7,11,8,19,0.39,0.03,12,-0.03,0,82,38
PM14,,L35 - 4454M,HHOLLL35 - LSF CJR PRESIDENT 4454M,,,150,13,-3.6,50,73,0.14,0.22,34,-4,10,8,22,0.61,-0.01,12,0.08,0,99,51
