RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
PM158,,M01 - 1278J,HHOLL M01 - SLB AUTHORITY 1278J,,,125,16,-4.5,60,88,0.18,0.44,33,-7,9,9,16,0.57,-0.11,16,0.25,-0.02,68,57
PM159,,M01 - 4454M,HHOLL M01 - LSF CJR PRESIDENT 4454M,,,164,15,-5.6,60,90,0.19,0.45,32,-3,11,9,21,0.78,-0.02,14,0.17,0,99,65
PM157,,M01 - J490,HHOLL M01 - BECKTON ORACLE J490 S2,,,120,17,-4.3,54,89,0.22,0.38,26,-3,10,9,15,0.52,0.01,13,0.07,0.01,62,58
PM146,,M02 - 1278J,HHOLL M02 - SLB AUTHORITY 1278J,,,133,15,-3.5,64,95,0.2,0.55,32,-6,9,9,16,0.6,-0.11,19,0.28,-0.02,72,62
PM147,,M02 - 4454M,HHOLL M02 - LSF CJR PRESIDENT 4454M,,,172,14,-4.6,63,97,0.21,0.56,32,-2,11,9,21,0.8,-0.02,17,0.2,0,103,69
PM145,,M02 - J490,HHOLL M02 - BECKTON ORACLE J490 S2,,,128,16,-3.3,58,96,0.24,0.49,25,-3,11,9,16,0.55,0.01,15,0.09,0.01,65,62
PM17,,M13 - 1278J,HHOLL M13 - SLB AUTHORITY 1278J,,,125,13,-2.6,58,87,0.18,0.36,30,-5,9,7,17,0.6,-0.13,14,0.31,-0.02,63,62
PM18,,M13 - 4454M,HHOLL M13 - LSF CJR PRESIDENT 4454M,,,163,12,-3.7,58,88,0.19,0.37,29,-1,10,8,21,0.8,-0.04,12,0.23,0.01,94,69
PM16,,M13 - J490,HHOLL M13 - BECKTON ORACLE J490 S2,,,119,15,-2.4,52,88,0.22,0.3,23,-1,10,8,16,0.54,-0.01,11,0.12,0.01,57,62
PM62,,M17 - 1278J,HHOLL M17 - SLB AUTHORITY 1278J,,,135,14,-3.2,65,98,0.2,0.59,31,-4,9,8,17,0.62,-0.05,20,0.19,-0.01,74,61
PM63,,M17 - 4454M,HHOLL M17 - LSF CJR PRESIDENT 4454M,,,174,14,-4.3,65,99,0.21,0.6,31,0,11,8,22,0.82,0.03,18,0.11,0.01,105,68
PM61,,M17 - J490,HHOLL M17 - BECKTON ORACLE J490 S2,,,130,16,-3,59,99,0.25,0.53,24,-1,11,8,17,0.57,0.06,16,0.01,0.01,68,61
PM65,,M19 - 1278J,HHOLL M19 - SLB AUTHORITY 1278J,,,125,16,-4.4,59,89,0.19,0.53,31,-3,9,8,15,0.63,-0.13,17,0.35,-0.02,60,65
PM66,,M19 - 4454M,HHOLL M19 - LSF CJR PRESIDENT 4454M,,,164,15,-5.5,59,91,0.2,0.54,31,0,11,9,20,0.84,-0.04,16,0.27,0.01,91,73
PM64,,M19 - J490,HHOLL M19 - BECKTON ORACLE J490 S2,,,119,17,-4.2,53,90,0.23,0.47,24,0,11,9,15,0.58,-0.01,14,0.17,0.01,54,66
PM74,,M35 - 1278J,HHOLL M35 - SLB AUTHORITY 1278J,,,142,18,-5.9,53,80,0.17,0.32,29,-6,10,10,17,0.69,-0.03,14,0.14,0,78,65
PM75,,M35 - 4454M,HHOLL M35 - LSF CJR PRESIDENT 4454M,,,181,17,-7.1,53,82,0.18,0.33,29,-2,12,11,22,0.88,0.05,12,0.06,0.02,109,73
PM73,,M35 - J490,HHOLL M35 - BECKTON ORACLE J490 S2,,,137,19,-5.8,47,81,0.21,0.26,22,-3,12,11,16,0.63,0.08,10,-0.05,0.02,71,66
PM56,,M37 - 1278J,HHOLL M37 - SLB AUTHORITY 1278J,,,140,16,-4.4,61,96,0.22,0.61,30,-2,10,9,16,0.62,-0.04,25,0.19,-0.02,69,71
PM57,,M37 - 4454M,HHOLL M37 - LSF CJR PRESIDENT 4454M,,,179,15,-5.5,61,98,0.23,0.62,30,1,12,10,21,0.82,0.05,24,0.11,0.01,100,79
PM55,,M37 - J490,HHOLL M37 - BECKTON ORACLE J490 S2,,,135,17,-4.2,55,97,0.26,0.55,24,1,11,10,16,0.56,0.08,22,0.01,0.01,63,72
PM59,,M38 - 1278J,HHOLL M38 - SLB AUTHORITY 1278J,,,141,17,-5.1,58,88,0.19,0.45,32,-4,10,9,17,0.69,-0.04,16,0.19,0,74,66
PM60,,M38 - 4454M,HHOLL M38 - LSF CJR PRESIDENT 4454M,,,180,16,-6.2,58,90,0.2,0.46,32,0,12,10,22,0.89,0.04,14,0.1,0.02,105,74
PM58,,M38 - J490,HHOLL M38 - BECKTON ORACLE J490 S2,,,135,18,-4.9,52,90,0.24,0.39,25,-1,12,10,16,0.64,0.07,12,0,0.02,68,67
PM68,,M42 - 1278J,HHOLL M42 - SLB AUTHORITY 1278J,,,140,15,-3.8,65,98,0.21,0.66,33,-2,9,8,18,0.56,-0.04,25,0.19,-0.02,78,62
PM69,,M42 - 4454M,HHOLL M42 - LSF CJR PRESIDENT 4454M,,,179,15,-4.8,65,100,0.22,0.67,33,2,11,9,23,0.76,0.04,24,0.11,0.01,109,70
