"RAAA#,Sex,",An,"imalID,Cow,Bull,Name,,,DOB",",BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM"
"PM410,,J51",-,"1278J,J51,1278J,HHOLL J51","- SLB AUTHORITY 1278J,,,,,138,16,-4.2,55,85,0.19,0.46,29,-7,10,9,18,0.51,-0.07,14,0.17,-0.02,84,54"
"PM125,,D10",-,"Z124G,D10,Z124G,D10 - LAS","O SPLASH Z124G,,,,,131,15,-3.1,50,77,0.17,0.28,24,-3,10,8,19,0.55,-0.11,9,0.33,0,78,53"
"PM186,,F79",-,"1278J,F79,1278J,F79 - SLB","AUTHORITY 1278J,,,,,140,15,-3.8,58,90,0.2,0.43,27,-5,9,9,18,0.52,-0.07,15,0.18,-0.01,84,56"
"PM193,,F81",-,"1278J,F81,1278J,F81 - SLB","AUTHORITY 1278J,,,,,124,17,-4.9,52,77,0.16,0.3,32,-6,9,9,18,0.47,-0.08,12,0.17,-0.01,76,48"
"PM228,,G22",-,"1278J,G22,1278J,HHOLL G22","- SLB AUTHORITY 1278J,,,,,128,15,-3.8,58,86,0.17,0.39,31,-5,9,8,19,0.48,-0.08,14,0.21,-0.01,80,48"
"PM270,,G65",-,"1278J,G65,1278J,HHOLL G65","- SLB AUTHORITY 1278J,,,,,130,15,-3.1,55,82,0.17,0.25,31,-7,9,9,19,0.47,-0.08,12,0.18,-0.01,82,48"
"PM284,,H37",-,"1278J,H37,1278J,HHOLL H37","- SLB AUTHORITY 1278J,,,,,133,15,-3.6,58,90,0.2,0.49,25,-5,9,9,18,0.52,-0.07,17,0.22,-0.01,77,56"
"PM293,,H11",-,"Z124G,H11,Z124G,HHOLL H11","- LASO SPLASH Z124G,,,,,124,16,-4.1,44,69,0.15,0.3,24,-3,10,8,18,0.57,-0.1,8,0.31,0,70,54"
"PM429,,J65",-,"9191G,J65,9191G,HHOLL J65","- LSF SRR CONTROL 9191G,,,,,153,16,-4.7,63,100,0.23,0.68,32,3,13,9,18,0.81,0.01,22,0.25,0.01,77,76"
"PM438,,J27",-,"1278J,J27,1278J,HHOLL J27","- SLB AUTHORITY 1278J,,,,,129,14,-3.1,55,82,0.17,0.41,33,-2,9,8,18,0.6,-0.13,12,0.29,-0.02,69,59"
"PM452,,J05",-,"1278J,J05,1278J,HHOLL J05","- SLB AUTHORITY 1278J,,,,,133,15,-3.3,65,96,0.2,0.61,32,-6,9,9,17,0.6,-0.07,15,0.22,-0.01,78,54"
"PM453,,J05",-,"D172,J05,D172,HHOLL J05 -","VF SILVER BOW D172,,,,,153,14,-2.2,68,112,0.28,0.92,24,-1,13,9,19,0.54,0.01,17,0.19,0.01,96,57"
"PM529,,K67",-,"1278J,K67,1278J,HHOLL K67","- SLB AUTHORITY 1278J,,,,,139,14,-2.4,60,92,0.2,0.54,29,-5,10,9,18,0.52,-0.07,16,0.2,-0.01,84,55"
"PM543,,K72",-,"1278J,K72,1278J,HHOLL K72","- SLB AUTHORITY 1278J,,,,,138,15,-3.8,59,90,0.2,0.52,26,-7,10,8,18,0.51,-0.08,17,0.22,-0.02,83,55"
"PM557,,K05",-,"1278J,K05,1278J,HHOLL K05","- SLB AUTHORITY 1278J,,,,,141,14,-2.8,66,100,0.21,0.61,28,-5,10,8,19,0.51,-0.07,19,0.24,-0.01,86,55"
"PM585,,K56",-,"1278J,K56,1278J,HHOLL K56","- SLB AUTHORITY 1278J,,,,,135,14,-2.5,63,96,0.21,0.58,29,-4,9,8,18,0.52,-0.07,18,0.23,-0.01,80,56"
"PM697,,L28",-,"1278J,L28,1278J,HHOLL L28","- SLB AUTHORITY 1278J,,,,,132,15,-3.4,59,88,0.18,0.42,30,-5,9,8,17,0.62,-0.12,15,0.35,-0.02,70,62"
"PM765,,L63",-,"9191G,L63,9191G,HHOLL L63","- LSF SRR CONTROL 9191G,,,,,146,15,-3.3,67,106,0.24,0.73,30,4,13,8,17,0.81,0.01,21,0.25,0.01,71,75"
"PM781,,L66",-,"1278J,L66,1278J,HHOLL L66","- SLB AUTHORITY 1278J,,,,,124,15,-3.1,59,86,0.17,0.45,32,-6,9,8,18,0.54,-0.08,11,0.15,-0.02,77,47"
"PM816,,L94",-,"1278J,L94,1278J,HHOLL L94","- SLB AUTHORITY 1278J,,,,,140,15,-3.8,61,93,0.2,0.58,33,-3,9,8,18,0.56,-0.04,23,0.16,-0.02,78,62"
"PM16,,L35",-,"9191G,L35,9191G,HHOLLL35 -","LSF SRR CONTROL 9191G,,,,,135,15,-3.7,50,77,0.17,0.28,32,-2,13,9,18,0.63,0.05,15,0.02,0.01,78,57"
"PM30,,N46",-,"9191G,N46,9191G,HHOLLN46 -","LSF SRR CONTROL 9191G,,,,,141,18,-5.7,54,84,0.18,0.43,29,-3,13,10,18,0.64,0.06,14,-0.03,0.01,89,52"
"PM165,,F08",-,"1278J,F08,1278J,F08 - SLB","AUTHORITY 1278J,,,,,144,14,-2.5,62,95,0.21,0.53,28,-6,10,8,19,0.52,-0.07,18,0.23,-0.01,88,56"
