CowID,BullID,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
J10 , 1181J,133,15,-3.9,57,95,0.23,0.55,26,1,11,7,18,0.5,0.06,29,0.05,0,67,66
L94 , Z124G,137,14,-2.8,61,97,0.23,0.75,31,3,10,7,18,0.66,-0.08,25,0.38,-0.01,63,73
K65 , Z124G,113,15,-3.8,56,86,0.19,0.62,29,0,10,7,16,0.69,-0.13,11,0.4,-0.01,52,61
H86 , 9191G,151,17,-4.1,58,89,0.2,0.41,25,-2,14,10,19,0.68,0.06,13,0.02,0.02,95,55
J03 , J490,116,17,-4.2,49,80,0.2,0.25,23,-5,10,9,17,0.5,0.04,5,-0.07,0.01,67,49
J65 , 1278J,130,15,-3.5,63,93,0.19,0.61,34,-2,9,8,17,0.6,-0.13,20,0.39,-0.02,68,62
J05 , D172,153,14,-2.2,68,112,0.28,0.92,24,-1,13,9,19,0.54,0.01,17,0.19,0.01,96,57
G11 , D172,150,15,-3.5,56,97,0.26,0.72,21,0,14,9,19,0.47,0.01,15,0.13,0.01,93,57
C12 , D172,136,13,-1.4,62,98,0.23,0.68,26,1,13,7,22,0.35,0,14,0.08,0,99,37
G25 , 9191G,155,18,-5.3,57,89,0.2,0.41,27,-1,14,10,20,0.69,0.06,15,0.05,0.02,97,58
L09 , 1278J,114,16,-5.1,57,82,0.16,0.43,30,-8,9,8,15,0.63,-0.1,10,0.17,-0.02,61,54
K67 , 1181J,156,13,-1.3,66,110,0.27,0.8,26,2,12,8,19,0.56,0.07,34,0.09,0,83,73
K03B , 1181J,128,15,-3.2,62,101,0.24,0.65,24,0,11,7,16,0.63,0.04,27,0.03,-0.01,57,71
A60 , 1181J,147,13,-1.4,60,95,0.22,0.57,29,2,11,7,21,0.45,0.05,29,0.03,-0.01,89,57
K05 , J490,135,16,-2.7,60,101,0.26,0.55,22,-2,11,9,18,0.46,0.04,16,0.05,0.01,80,55
L28 , 1278J,132,15,-3.4,59,88,0.18,0.42,30,-5,9,8,17,0.62,-0.12,15,0.35,-0.02,70,62
L58 , 1278J,129,16,-4.5,56,85,0.18,0.4,29,-5,9,9,16,0.64,-0.12,14,0.32,-0.02,64,65
E29 , 1278J,131,14,-2.6,54,78,0.15,0.29,31,-8,9,9,20,0.42,-0.09,12,0.13,-0.02,92,40
C32 , 9191G,155,16,-3.8,58,90,0.2,0.45,28,2,13,10,21,0.63,0.05,15,0.02,0.01,101,54
K43 , 1278J,117,15,-3.5,60,87,0.17,0.5,30,-5,9,8,17,0.54,-0.07,13,0.16,-0.02,68,48
H44 , 9191G,153,18,-5.6,50,80,0.19,0.34,24,-1,14,11,20,0.69,0.07,11,-0.01,0.02,95,57
K75 , J490,102,16,-3,50,84,0.22,0.26,23,-3,11,8,15,0.42,0.04,9,-0.02,0.01,53,49
F21 , 1181J,145,13,-1.9,64,103,0.25,0.6,24,0,11,7,19,0.51,0.06,31,0.04,-0.01,79,66
L33 , D172,154,13,-1.9,63,108,0.28,0.84,20,0,14,9,20,0.46,0.01,20,0.19,0.01,96,59
N46 , 1181J,134,15,-3.4,59,94,0.22,0.62,28,-1,11,8,19,0.45,0.07,30,0,-0.01,78,57
G60 ,8269,132,17,-4.9,52,81,0.18,0.5,27,-4,12,9,20,0.51,0,3,-0.01,0.01,94,38
F06 , D172,150,13,-1.5,60,98,0.24,0.67,23,0,13,8,22,0.37,0,15,0.1,0,107,43
J51 , 1278J,138,16,-4.2,55,85,0.19,0.46,29,-7,10,9,18,0.51,-0.07,14,0.17,-0.02,84,54
H15 , 1181J,136,14,-2.5,63,102,0.25,0.65,21,0,11,7,18,0.52,0.07,31,0.03,-0.01,70,66
H62 , D172,151,13,-1.8,63,107,0.28,0.84,20,1,14,9,20,0.47,0.01,18,0.16,0.01,94,57
G10 , D172,138,15,-3.3,52,89,0.23,0.48,22,-2,13,9,19,0.41,0.01,13,0.11,0.01,86,52
G35 , D172,149,14,-2.5,61,97,0.23,0.73,25,-1,13,8,23,0.37,0,14,0.09,0,111,37
K87 , 1278J,114,14,-2.3,64,93,0.18,0.55,32,-4,8,8,17,0.54,-0.08,12,0.16,-0.02,68,46
K32 , 1278J,125,15,-3.4,52,78,0.16,0.26,31,-7,10,8,15,0.6,-0.05,17,0.13,-0.02,61,64
J62 , Z124G,117,14,-2.9,60,93,0.21,0.64,25,-1,10,7,16,0.59,-0.11,16,0.39,-0.01,58,59
G34 , D172,148,15,-3.2,55,90,0.22,0.54,19,-3,14,9,21,0.41,0.01,11,0.1,0.01,104,44
L31 , 9191G,139,16,-4.3,60,95,0.22,0.58,28,0,14,9,15,0.88,0.01,14,0.14,0.01,66,74
L78 , 1181J,135,16,-3.5,62,99,0.23,0.66,28,1,11,8,17,0.6,0.07,29,0.06,0,67,68
D10 , 9191G,158,18,-5.3,50,79,0.18,0.18,23,-3,14,11,20,0.67,0.06,9,-0.03,0.02,102,56
L32 , 1278J,142,15,-3.8,61,97,0.22,0.56,28,-3,10,9,17,0.62,-0.04,26,0.2,-0.02,70,72
C28 , 1278J,126,16,-3.8,54,77,0.15,0.29,31,-6,8,9,20,0.41,-0.09,13,0.14,-0.02,85,41
K56 , 9191G,159,15,-3.7,63,103,0.25,0.65,26,1,14,9,19,0.74,0.07,20,0.09,0.02,89,70
