CowID,BullID,,,,
D23 ,8269,,,8269,22
F21 ,8269,,, 1181J,23
G07 ,8269,,, 1278J,23
G09 ,8269,,, 9191G,13
G11 ,8269,,, D172,15
G35 ,8269,,, J490,15
H31 ,8269,,, Z124G,6
H44 ,8269,,,,
H61 ,8269,,,,
H70 ,8269,,,,
J05 ,8269,,,,
J27 ,8269,,,,
K38B ,8269,,,,
K40 ,8269,,,,
K65 ,8269,,,,
K67 ,8269,,,,
K72 ,8269,,,,
K86 ,8269,,,,
L29 ,8269,,,,
L31 ,8269,,,,
L58 ,8269,,,,
N46 ,8269,,,,
A60 , 1181J,,,,
C14 , 1181J,,,,
C16 , 1181J,,,,
C19 , 1181J,,,,
C32 , 1181J,,,,
C47 , 1181J,,,,
C66 , 1181J,,,,
D10 , 1181J,,,,
F08 , 1181J,,,,
G22 , 1181J,,,,
J04 , 1181J,,,,
J80 , 1181J,,,,
K05 , 1181J,,,,
K11 , 1181J,,,,
K69 , 1181J,,,,
L06 , 1181J,,,,
L22 , 1181J,,,,
L32 , 1181J,,,,
L63 , 1181J,,,,
L70 , 1181J,,,,
L73 , 1181J,,,,
L78 , 1181J,,,,
L94 , 1181J,,,,
C28 , 1278J,,,,
E59 , 1278J,,,,
F06 , 1278J,,,,
G25 , 1278J,,,,
G29 , 1278J,,,,
G34 , 1278J,,,,
H11 , 1278J,,,,
H42 , 1278J,,,,
H86 , 1278J,,,,
J03 , 1278J,,,,
J10 , 1278J,,,,
J41 , 1278J,,,,
J45 , 1278J,,,,
J46 , 1278J,,,,
K06 , 1278J,,,,
K34 , 1278J,,,,
K51 , 1278J,,,,
K52 , 1278J,,,,
K87 , 1278J,,,,
L49 , 1278J,,,,
L60 , 1278J,,,,
L64 , 1278J,,,,
L66 , 1278J,,,,
E29 , 9191G,,,,
F19 , 9191G,,,,
F79 , 9191G,,,,
H62 , 9191G,,,,
J40 , 9191G,,,,
J61 , 9191G,,,,
K21 , 9191G,,,,
K25 , 9191G,,,,
K56 , 9191G,,,,
L09 , 9191G,,,,
L10 , 9191G,,,,
L12 , 9191G,,,,
L28 , 9191G,,,,
E30 , D172,,,,
F81 , D172,,,,
G65 , D172,,,,
H15 , D172,,,,
H26 , D172,,,,
H37 , D172,,,,
H50 , D172,,,,
K03B , D172,,,,
K30 , D172,,,,
K59 , D172,,,,
K82 , D172,,,,
L33 , D172,,,,
L61 , D172,,,,
L88 , D172,,,,
N56 , D172,,,,
C12 , J490,,,,
C17 , J490,,,,
D29 , J490,,,,
F83 , J490,,,,
G10 , J490,,,,
G60 , J490,,,,
H59 , J490,,,,
J51 , J490,,,,
J62 , J490,,,,
J65 , J490,,,,
K43 , J490,,,,
K75 , J490,,,,
L20 , J490,,,,
L35 , J490,,,,
L44 , J490,,,,
D19 , Z124G,,,,
J33 , Z124G,,,,
J76 , Z124G,,,,
K32 , Z124G,,,,
K60 , Z124G,,,,
K68 , Z124G,,,,
