CowID,BullID,PairID,RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
K56 , 9191G,K56 - 9191G,PM583,,K56 - 9191G,HHOLL K56 - LSF SRR CONTROL 9191G,,,159,15,-3.7,63,103,0.25,0.65,26,1,14,9,19,0.74,0.07,20,0.09,0.02,89,70
A60 , 1181J,A60 - 1181J,PM38,,A60 - 1181J,HHOLLA60 - LSF SRR CHARTER 1181J,,,147,13,-1.4,60,95,0.22,0.57,29,2,11,7,21,0.45,0.05,29,0.03,-0.01,89,57
J46 , D172,J46 - D172,PM474,,J46 - D172,HHOLL J46 - VF SILVER BOW D172,,,141,14,-3.0,63,105,0.27,0.84,21,-1,14,8,17,0.56,-0.01,16,0.17,0.0,81,60
L73 , 1181J,L73 - 1181J,PM794,,L73 - 1181J,HHOLL L73 - LSF SRR CHARTER 1181J,,,133,14,-2.3,63,102,0.25,0.74,28,3,11,7,16,0.68,0.02,28,0.13,-0.01,56,77
K05 , 9191G,K05 - 9191G,PM555,,K05 - 9191G,HHOLL K05 - LSF SRR CONTROL 9191G,,,164,16,-4.1,66,106,0.25,0.68,25,1,14,9,19,0.74,0.07,21,0.1,0.02,96,69
G35 , D172,G35 - D172,PM257,,G35 - D172,HHOLL G35 - VF SILVER BOW D172,,,149,14,-2.5,61,97,0.23,0.73,25,-1,13,8,23,0.37,0.0,14,0.09,0.0,111,37
L22 , 9191G,L22 - 9191G,PM688,,L22 - 9191G,HHOLL L22 - LSF SRR CONTROL 9191G,,,136,16,-4.7,61,96,0.22,0.55,26,-1,14,9,15,0.82,0.04,14,0.04,0.01,69,68
H11 , 9191G,H11 - 9191G,PM289,,H11 - 9191G,HHOLL H11 - LSF SRR CONTROL 9191G,,,151,19,-6.4,44,71,0.16,0.2,23,-3,14,11,19,0.69,0.07,8,-0.05,0.02,94,57
G22 , 1181J,G22 - 1181J,PM227,,G22 - 1181J,HHOLL G22 - LSF SRR CHARTER 1181J,,,145,14,-2.7,63,103,0.25,0.65,28,2,11,7,20,0.5,0.06,31,0.1,0.0,78,66
F21 , 1181J,F21 - 1181J,PM178,,F21 - 1181J,F21 - LSF SRR CHARTER 1181J,,,145,13,-1.9,64,103,0.25,0.6,24,0,11,7,19,0.51,0.06,31,0.04,-0.01,79,66
K82 , 1181J,K82 - 1181J,PM549,,K82 - 1181J,HHOLL K82 - LSF SRR CHARTER 1181J,,,137,15,-3.0,65,105,0.25,0.69,26,2,11,7,18,0.5,0.06,33,0.11,0.0,72,65
K30 , 1278J,K30 - 1278J,PM592,,K30 - 1278J,HHOLL K30 - SLB AUTHORITY 1278J,,,134,14,-2.7,57,89,0.2,0.46,28,-6,9,8,18,0.51,-0.07,15,0.17,-0.02,79,55
D29 , D172,D29 - D172,PM110,,D29 - D172,D29 - VF SILVER BOW D172,,,142,14,-2.5,56,92,0.23,0.56,20,-2,13,9,20,0.41,0.01,12,0.1,0.01,96,46
K72 , 1278J,K72 - 1278J,PM543,,K72 - 1278J,HHOLL K72 - SLB AUTHORITY 1278J,,,138,15,-3.8,59,90,0.2,0.52,26,-7,10,8,18,0.51,-0.08,17,0.22,-0.02,83,55
D19 , 1181J,D19 - 1181J,PM115,,D19 - 1181J,D19 - LSF SRR CHARTER 1181J,,,141,15,-3.0,56,91,0.22,0.51,25,0,11,9,19,0.49,0.07,27,0.02,0.0,79,62
G29 , 1181J,G29 - 1181J,PM241,,G29 - 1181J,HHOLL G29 - LSF SRR CHARTER 1181J,,,138,14,-2.7,65,105,0.25,0.69,24,2,11,7,18,0.52,0.06,34,0.07,-0.01,69,69
G34 , D172,G34 - D172,PM250,,G34 - D172,HHOLL G34 - VF SILVER BOW D172,,,148,15,-3.2,55,90,0.22,0.54,19,-3,14,9,21,0.41,0.01,11,0.1,0.01,104,44
L10 , D172,L10 - D172,PM12,,L10 - D172,HHOLLL10 - VF SILVER BOW D172,,,151,13,-1.4,54,87,0.21,0.39,20,-5,13,8,22,0.38,0.0,12,0.07,0.0,107,44
H61 , 8269,H61 - 8269,PM336,,H61 - 8269,HHOLL H61 - FEDDES DEFENDER Y17-8269,,,117,18,-5.0,49,72,0.14,0.33,27,-5,11,10,20,0.44,0.0,0,-0.04,0.01,90,27
