CowID,BullID,,,,
D23 ,8269,,2,,
L44 ,8269,,23,,
C14 , 1181J,,23,,
D19 , 1181J,,23,,
F08 , 1181J,,23,,
F21 , 1181J,,,,
G07 , 1181J,,,,
G22 , 1181J,,,,
G29 , 1181J,,,8269,2
G60 , 1181J,,, 1181J,23
H15 , 1181J,,, 1278J,23
H42 , 1181J,,, 9191G,23
J03 , 1181J,,, D172,23
J10 , 1181J,,, Z124G,23
J45 , 1181J,,,,
K03B , 1181J,,,,
K34 , 1181J,,,,
K40 , 1181J,,,,
K67 , 1181J,,,,
K82 , 1181J,,,,
K86 , 1181J,,,,
L60 , 1181J,,,,
L70 , 1181J,,,,
L73 , 1181J,,,,
N46 , 1181J,,,,
C28 , 1278J,,,,
E29 , 1278J,,,,
F81 , 1278J,,,,
H31 , 1278J,,,,
H70 , 1278J,,,,
J40 , 1278J,,,,
J51 , 1278J,,,,
K30 , 1278J,,,,
K32 , 1278J,,,,
K43 , 1278J,,,,
K60 , 1278J,,,,
K69 , 1278J,,,,
K72 , 1278J,,,,
K87 , 1278J,,,,
L09 , 1278J,,,,
L20 , 1278J,,,,
L28 , 1278J,,,,
L32 , 1278J,,,,
L49 , 1278J,,,,
L58 , 1278J,,,,
L64 , 1278J,,,,
L66 , 1278J,,,,
L88 , 1278J,,,,
C32 , 9191G,,,,
C47 , 9191G,,,,
C66 , 9191G,,,,
D10 , 9191G,,,,
F83 , 9191G,,,,
G25 , 9191G,,,,
G65 , 9191G,,,,
H11 , 9191G,,,,
H26 , 9191G,,,,
H44 , 9191G,,,,
H86 , 9191G,,,,
J33 , 9191G,,,,
J65 , 9191G,,,,
K06 , 9191G,,,,
K52 , 9191G,,,,
K68 , 9191G,,,,
L06 , 9191G,,,,
L12 , 9191G,,,,
L22 , 9191G,,,,
L31 , 9191G,,,,
L35 , 9191G,,,,
L61 , 9191G,,,,
N56 , 9191G,,,,
C12 , D172,,,,
C16 , D172,,,,
C17 , D172,,,,
D29 , D172,,,,
F06 , D172,,,,
F19 , D172,,,,
G10 , D172,,,,
G11 , D172,,,,
G34 , D172,,,,
H37 , D172,,,,
H50 , D172,,,,
H61 , D172,,,,
H62 , D172,,,,
J05 , D172,,,,
J27 , D172,,,,
J46 , D172,,,,
J61 , D172,,,,
K05 , D172,,,,
K21 , D172,,,,
K51 , D172,,,,
L10 , D172,,,,
L29 , D172,,,,
L33 , D172,,,,
A60 , Z124G,,,,
C19 , Z124G,,,,
E30 , Z124G,,,,
E59 , Z124G,,,,
F79 , Z124G,,,,
G09 , Z124G,,,,
G35 , Z124G,,,,
H59 , Z124G,,,,
J04 , Z124G,,,,
J41 , Z124G,,,,
J62 , Z124G,,,,
J76 , Z124G,,,,
J80 , Z124G,,,,
K11 , Z124G,,,,
K25 , Z124G,,,,
K38B , Z124G,,,,
K56 , Z124G,,,,
K59 , Z124G,,,,
K65 , Z124G,,,,
K75 , Z124G,,,,
L63 , Z124G,,,,
L78 , Z124G,,,,
L94 , Z124G,,,,
