F08,1278J,,,,F08,,K06,,,J51 - 1278J,,,F08,,,D10 - Z124G,,J04 - D172,,L63 - 9191G,,,,J40 - 8269,,J51 - 1278J,
F19,1278J,,,,F19,,L10,,,F79 - 1278J,,,F19,,,G25 - Z124G,,K11 - D172,,H44 - 9191G,,,,J65 - 8269,,F79 - 1278J,
F21,1278J,,,,F21,,L35,,,K69 - 1278J,,,F21,,,H11 - Z124G,,L06 - D172,,L61 - 9191G,,,,L12 - 8269,,K69 - 1278J,
F79,1278J,,,,F79,,N56,,,K68 - 1278J,,,F79,,,G34 - Z124G,,J46 - D172,,C16 - 9191G,,,,L44 - 8269,,K68 - 1278J,
F81,1278J,,,,F81,,N46,,,J33 - 1278J,,,F81,,,H61 - Z124G,,L29 - D172,,C66 - 9191G,,,,G60 - 8269,,J33 - 1278J,
F83,1278J,,,,F83,,A60,,,J27 - 1278J,,,F83,,,C19 - Z124G,,L88 - D172,,J03 - 9191G,,,,C28 - 8269,,J27 - 1278J,
G07,1278J,,,,G07,,C16,,,L60 - 1278J,,,G07,,,F19 - Z124G,,L09 - D172,,H50 - 9191G,,,,H26 - 8269,,L60 - 1278J,
G10,1278J,,,,G10,,C19,,,L94 - 1278J,,,G10,,,L78 - Z124G,,J41 - D172,,F21 - 9191G,,,,L70 - 8269,,L94 - 1278J,
G11,1278J,,,,G11,,C66,,,F81 - 1278J,,,G11,,,,,J80 - D172,,D23 - 9191G,,,,F83 - 8269,,F81 - 1278J,
G22,1278J,,,,G22,,C12,,,J05 - 1278J,,,G22,,,,,K82 - D172,,D19 - 9191G,,,,K60 - 8269,,J05 - 1278J,
G25,1278J,,,,G25,,C14,,,L66 - 1278J,,,G25,,,,,G10 - D172,,H86 - 9191G,,,,,,L66 - 1278J,
G29,1278J,,,,G29,,C28,,,L73 - 1278J,,,G29,,,,,L22 - D172,,C17 - 9191G,,,,,,L73 - 1278J,
G34,1278J,,,,G34,,C47,,,K67 - 1278J,,,G34,,,,,K03B - D172,,E29 - 9191G,,,,,,K67 - 1278J,
G35,1278J,,,,G35,,C32,,,K72 - 1278J,,,G35,,,,,,,E30 - 9191G,,,,,,K72 - 1278J,
G60,1278J,,,,G60,,C17,,,K05 - 1278J,,,G60,,,,,,,E59 - 9191G,,,,,,K05 - 1278J,
G65,1278J,,,,G65,,D29,,,K56 - 1278J,,,G65,,,,,,,G35 - 9191G,,,,,,K56 - 1278J,
G09,1278J,,,,G09,,D19,,,L28 - 1278J,,,G09,,,,,,,H42 - 9191G,,,,,,L28 - 1278J,
H37,1278J,,,,H37,,D10,,,,,,H37,,,,,,,L20 - 9191G,,,,,,J61 - 1278J,
H11,1278J,,,,H11,,D23,,,,,,H11,,,,,,,,,,,,,L58 - 1278J,
H86,1278J,,,,H86,,E29,,,,,,H86,,,,,,,,,,,,,L64 - 1278J,
H50,1278J,,,,H50,,E30,,,,,,H50,,,,,,,,,,,,,G22 - 1278J,
,,,,,J51,,E59,,,,,,L63,,,,,,,,,,,,,G65 - 1278J,
,,,,,F79,,F06,,,,,,H44,,,,,,,,,,,,,H37 - 1278J,
,,,,,K69,,J51,,,,,,L61,,,,,,,,,,,,,,
,,,,,K68,,F79,,,,,,C16,,,,,,,,,,,,,,
,,,,,J33,,K69,,,,,,C66,,,,,,,,,,,,,,
,,,,,J27,,K68,,,,,,J03,,,,,,,,,,,,,,
,,,,,L60,,J33,,,,,,H50,,,,,,,,,,,,,,
,,,,,L94,,J27,,,,,,F21,,,,,,,,,,,,,,
,,,,,F81,,L60,,,,,,D23,,,,,,,,,,,,,,
,,,,,J05,,L94,,,,,,D19,,,,,,,,,,,,,,
,,,,,L66,,F81,,,,,,H86,,,,,,,,,,,,,,
,,,,,L73,,J05,,,,,,C17,,,,,,,,,,,,,,
,,,,,K67,,L66,,,,,,E29,,,,,,,,,,,,,,
,,,,,K72,,L73,,,,,,E30,,,,,,,,,,,,,,
,,,,,K05,,K67,,,,,,E59,,,,,,,,,,,,,,
,,,,,K56,,K72,,,,,,G35,,,,,,,,,,,,,,
,,,,,L28,,K05,,,,,,H42,,,,,,,,,,,,,,
,,,,,,,K56,,,,,,L20,,,,,,,,,,,,,,
,,,,,,,L28,,,,,,,,,,,,,,,,,,,,
