Cow,Bull,Score,Traits_Met,PROS,PROS_Meets_Target,CED,CED_Meets_Target,BW,BW_Meets_Target,WW,WW_Meets_Target,YW,YW_Meets_Target,ADG,ADG_Meets_Target,DMI,DMI_Meets_Target,Milk,Milk_Meets_Target,ME,ME_Meets_Target,HPG,HPG_Meets_Target,CEM,CEM_Meets_Target,STAY,STAY_Meets_Target,Marb,Marb_Meets_Target,YG,YG_Meets_Target,CW,CW_Meets_Target,REA,REA_Meets_Target,FAT,FAT_Meets_Target,HB,HB_Meets_Target,GM,GM_Meets_Target
D10,Z124G,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",131,Yes,15,Yes,-3.1,Yes,50,No,77,No,0.17,No,0.28,Yes,24,No,-3,Yes,10,No,8,Yes,19,Yes,0.55,Yes,-0.11,Yes,9,No,0.33,Yes,0,Yes,78,Yes,53,Yes
F79,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",140,Yes,15,Yes,-3.8,Yes,58,No,90,No,0.2,No,0.43,Yes,27,No,-5,Yes,9,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,15,No,0.18,Yes,-0.01,Yes,84,Yes,56,Yes
G22,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,YG,REA,FAT,HB,GM",128,Yes,15,Yes,-3.8,Yes,58,No,86,No,0.17,No,0.39,Yes,31,Yes,-5,Yes,9,No,8,Yes,19,Yes,0.48,No,-0.08,Yes,14,No,0.21,Yes,-0.01,Yes,80,Yes,48,Yes
G65,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,YG,REA,FAT,HB,GM",130,Yes,15,Yes,-3.1,Yes,55,No,82,No,0.17,No,0.25,Yes,31,Yes,-7,Yes,9,No,9,Yes,19,Yes,0.47,No,-0.08,Yes,12,No,0.18,Yes,-0.01,Yes,82,Yes,48,Yes
H37,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",133,Yes,15,Yes,-3.6,Yes,58,No,90,No,0.2,No,0.49,Yes,25,No,-5,Yes,9,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,17,No,0.22,Yes,-0.01,Yes,77,Yes,56,Yes
H11,Z124G,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",124,Yes,16,Yes,-4.1,Yes,44,No,69,No,0.15,No,0.3,Yes,24,No,-3,Yes,10,No,8,Yes,18,Yes,0.57,Yes,-0.1,Yes,8,No,0.31,Yes,0,Yes,70,Yes,54,Yes
J27,1278J,13,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,GM",129,Yes,14,Yes,-3.1,Yes,55,No,82,No,0.17,No,0.41,Yes,33,Yes,-2,Yes,9,No,8,Yes,18,Yes,0.6,Yes,-0.13,Yes,12,No,0.29,Yes,-0.02,Yes,69,No,59,Yes
J05,D172,13,"PROS,CED,WW,YW,ADG,HPG,CEM,STAY,Marb,YG,REA,HB,GM",153,Yes,14,Yes,-2.2,No,68,Yes,112,Yes,0.28,Yes,0.92,No,24,No,-1,No,13,Yes,9,Yes,19,Yes,0.54,Yes,0.01,Yes,17,No,0.19,Yes,0.01,No,96,Yes,57,Yes
K67,1278J,13,"PROS,CED,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",139,Yes,14,Yes,-2.4,No,60,No,92,No,0.2,No,0.54,Yes,29,Yes,-5,Yes,10,No,9,Yes,18,Yes,0.52,Yes,-0.07,Yes,16,No,0.2,Yes,-0.01,Yes,84,Yes,55,Yes
K72,1278J,13,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",138,Yes,15,Yes,-3.8,Yes,59,No,90,No,0.2,No,0.52,Yes,26,No,-7,Yes,10,No,8,Yes,18,Yes,0.51,Yes,-0.08,Yes,17,No,0.22,Yes,-0.02,Yes,83,Yes,55,Yes
K05,1278J,13,"PROS,CED,WW,YW,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",141,Yes,14,Yes,-2.8,No,66,Yes,100,Yes,0.21,No,0.61,No,28,No,-5,Yes,10,No,8,Yes,19,Yes,0.51,Yes,-0.07,Yes,19,No,0.24,Yes,-0.01,Yes,86,Yes,55,Yes
K56,1278J,13,"PROS,CED,DMI,Milk,ME,CEM,STAY,Marb,YG,REA,FAT,HB,GM",135,Yes,14,Yes,-2.5,No,63,No,96,No,0.21,No,0.58,Yes,29,Yes,-4,Yes,9,No,8,Yes,18,Yes,0.52,Yes,-0.07,Yes,18,No,0.23,Yes,-0.01,Yes,80,Yes,56,Yes
