Batch,Cow,Bull,Score,Traits_Met,PROS,PROS_Meets_Target,CED,CED_Meets_Target,BW,BW_Meets_Target,WW,WW_Meets_Target,YW,YW_Meets_Target,ADG,ADG_Meets_Target,DMI,DMI_Meets_Target,Milk,Milk_Meets_Target,ME,ME_Meets_Target,HPG,HPG_Meets_Target,CEM,CEM_Meets_Target,STAY,STAY_Meets_Target,Marb,Marb_Meets_Target,YG,YG_Meets_Target,CW,CW_Meets_Target,REA,REA_Meets_Target,FAT,FAT_Meets_Target,HB,HB_Meets_Target,GM,GM_Meets_Target
20,L28,8269,12,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,HB,GM",121,Yes,15,Yes,-3,Yes,58,No,87,No,0.18,No,0.5,Yes,28,No,-3,Yes,11,No,8,Yes,18,Yes,0.6,Yes,-0.05,Yes,6,No,0.19,Yes,0.01,No,75,Yes,47,Yes
21,L44,8269,12,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,HB,GM",120,Yes,16,Yes,-4,Yes,56,No,85,No,0.18,No,0.5,Yes,30,Yes,-3,Yes,11,No,8,Yes,18,Yes,0.61,Yes,0.02,Yes,7,No,-0.01,No,0.01,No,73,Yes,48,Yes
1,N46,8269,10,"CED,BW,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",106,No,16,Yes,-4.2,Yes,53,No,76,No,0.14,No,0.44,Yes,30,Yes,-7,Yes,11,No,8,Yes,19,Yes,0.4,No,0,Yes,2,No,-0.06,No,0,Yes,84,Yes,23,No
3,C32,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",121,Yes,14,Yes,-2.2,No,57,No,83,No,0.16,No,0.46,Yes,29,Yes,-2,Yes,10,No,8,Yes,22,Yes,0.39,No,-0.01,Yes,4,No,-0.01,No,0,Yes,96,Yes,25,No
4,E29,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",120,Yes,14,Yes,-2.2,No,53,No,77,No,0.15,No,0.38,Yes,29,Yes,-6,Yes,11,No,8,Yes,21,Yes,0.4,No,-0.01,Yes,2,No,-0.04,No,0,Yes,96,Yes,24,No
6,F83,8269,10,"CED,BW,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",107,No,15,Yes,-3.3,Yes,57,No,82,No,0.16,No,0.48,Yes,31,Yes,-2,Yes,10,No,8,Yes,19,Yes,0.4,No,-0.01,Yes,6,No,0,No,0,Yes,81,Yes,26,No
8,G35,8269,10,"PROS,CED,BW,DMI,Milk,ME,STAY,YG,FAT,HB",118,Yes,15,Yes,-3.2,Yes,57,No,81,No,0.15,No,0.51,Yes,32,Yes,-4,Yes,10,No,7,No,22,Yes,0.4,No,-0.01,Yes,2,No,-0.04,No,0,Yes,99,Yes,19,No
13,J40,8269,10,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,FAT,HB",117,No,15,Yes,-3.4,Yes,53,No,80,No,0.17,No,0.38,Yes,29,Yes,-5,Yes,10,No,7,No,18,Yes,0.58,Yes,-0.06,Yes,2,No,0.11,No,0,Yes,72,Yes,45,No
15,K60,8269,10,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,FAT,HB",115,No,15,Yes,-3.5,Yes,52,No,79,No,0.17,No,0.42,Yes,29,Yes,-3,Yes,11,No,7,No,18,Yes,0.58,Yes,0.02,Yes,4,No,-0.08,No,0,Yes,71,Yes,44,No
14,K32,8269,9,"CED,BW,DMI,Milk,ME,Marb,YG,FAT,GM",114,No,14,Yes,-3.1,Yes,51,No,77,No,0.16,No,0.34,Yes,29,Yes,-6,Yes,11,No,7,No,16,No,0.58,Yes,0.02,Yes,8,No,-0.03,No,0,Yes,66,No,48,Yes
16,K25,8269,9,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,HB",103,No,15,Yes,-3.5,Yes,58,No,83,No,0.16,No,0.48,Yes,29,Yes,-5,Yes,10,No,7,No,18,Yes,0.52,Yes,-0.01,Yes,0,No,-0.04,No,0.01,No,73,Yes,30,No
17,K38B,8269,9,"PROS,CED,Milk,ME,STAY,Marb,YG,FAT,HB",120,Yes,14,Yes,-2.5,No,62,No,92,No,0.19,No,0.62,No,31,Yes,-2,Yes,11,No,7,No,18,Yes,0.57,Yes,0.02,Yes,9,No,-0.03,No,0,Yes,79,Yes,42,No
19,K65,8269,9,"CED,BW,DMI,Milk,ME,Marb,YG,FAT,HB",106,No,16,Yes,-4.5,Yes,55,No,81,No,0.16,No,0.53,Yes,29,Yes,-5,Yes,11,No,7,No,17,No,0.57,Yes,-0.03,Yes,0,No,0,No,0,Yes,71,Yes,34,No
22,L61,8269,9,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,HB",106,No,16,Yes,-4.2,Yes,52,No,77,No,0.16,No,0.39,Yes,31,Yes,-5,Yes,10,No,8,Yes,17,No,0.55,Yes,0,Yes,-1,No,-0.04,No,0.01,No,71,Yes,35,No
6,F81,1181J,12,"PROS,CED,BW,DMI,Milk,CEM,STAY,Marb,CW,FAT,HB,GM",141,Yes,16,Yes,-3.8,Yes,57,No,94,No,0.23,No,0.56,Yes,29,Yes,2,No,10,No,8,Yes,19,Yes,0.5,Yes,0.06,No,30,Yes,0.06,No,0,Yes,74,Yes,67,Yes
7,G25,1181J,12,"PROS,CED,BW,YW,DMI,CEM,STAY,Marb,CW,FAT,HB,GM",149,Yes,15,Yes,-3,Yes,63,No,100,Yes,0.23,No,0.6,Yes,26,No,1,No,11,No,8,Yes,20,Yes,0.5,Yes,0.06,No,31,Yes,0.08,No,0,Yes,86,Yes,63,Yes
13,J65,1181J,12,"PROS,CED,WW,YW,Milk,STAY,Marb,YG,CW,REA,FAT,GM",147,Yes,14,Yes,-2.4,No,68,Yes,110,Yes,0.26,No,0.87,No,31,Yes,5,No,10,No,7,No,18,Yes,0.62,Yes,0.01,Yes,38,Yes,0.28,Yes,-0.01,Yes,66,No,80,Yes
5,F08,1181J,11,"PROS,WW,YW,ADG,HPG,STAY,Marb,CW,FAT,HB,GM",161,Yes,13,No,-1.5,No,68,Yes,113,Yes,0.28,Yes,0.8,No,25,No,1,No,12,Yes,7,No,20,Yes,0.55,Yes,0.07,No,35,Yes,0.12,No,0,Yes,87,Yes,74,Yes
8,G60,1181J,11,"PROS,CED,BW,HPG,CEM,STAY,Marb,CW,FAT,HB,GM",160,Yes,16,Yes,-4.2,Yes,59,No,99,No,0.25,No,0.68,No,24,No,2,No,12,Yes,9,Yes,20,Yes,0.56,Yes,0.07,No,30,Yes,0.05,No,0,Yes,88,Yes,72,Yes
