Batch,Cow,Bull,Score,Traits_Met,CED_Value,ME_Value,PROS,PROS_Meets_Target,CED,CED_Meets_Target,BW,BW_Meets_Target,WW,WW_Meets_Target,YW,YW_Meets_Target,ADG,ADG_Meets_Target,DMI,DMI_Meets_Target,Milk,Milk_Meets_Target,ME,ME_Meets_Target,HPG,HPG_Meets_Target,CEM,CEM_Meets_Target,STAY,STAY_Meets_Target,Marb,Marb_Meets_Target,YG,YG_Meets_Target,CW,CW_Meets_Target,REA,REA_Meets_Target,FAT,FAT_Meets_Target,HB,HB_Meets_Target,GM,GM_Meets_Target
5,L28,8269,12,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,REA,HB,GM",15,-3,121,Yes,15,Yes,-3,Yes,58,No,87,No,0.18,No,0.5,Yes,28,No,-3,Yes,11,No,8,Yes,18,Yes,0.6,Yes,-0.05,Yes,6,No,0.19,Yes,0.01,No,75,Yes,47,Yes
5,L44,8269,12,"PROS,CED,BW,DMI,Milk,ME,CEM,STAY,Marb,YG,HB,GM",16,-3,120,Yes,16,Yes,-4,Yes,56,No,85,No,0.18,No,0.5,Yes,30,Yes,-3,Yes,11,No,8,Yes,18,Yes,0.61,Yes,0.02,Yes,7,No,-0.01,No,0.01,No,73,Yes,48,Yes
2,G60,8269,11,"PROS,CED,BW,DMI,ME,HPG,CEM,STAY,Marb,YG,HB",17,-4,132,Yes,17,Yes,-4.9,Yes,52,No,81,No,0.18,No,0.5,Yes,27,No,-4,Yes,12,Yes,9,Yes,20,Yes,0.51,Yes,0,Yes,3,No,-0.01,No,0.01,No,94,Yes,38,No
3,J65,8269,11,"PROS,CED,BW,Milk,STAY,Marb,YG,REA,FAT,HB,GM",15,-1,119,Yes,15,Yes,-3.2,Yes,62,No,92,No,0.19,No,0.69,No,33,Yes,-1,No,10,No,7,No,18,Yes,0.58,Yes,-0.06,Yes,10,No,0.23,Yes,0,Yes,72,Yes,46,Yes
5,L12,8269,11,"CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,HB,GM",15,-3,117,No,15,Yes,-3.6,Yes,56,No,84,No,0.18,No,0.58,Yes,30,Yes,-3,Yes,11,No,8,Yes,17,No,0.61,Yes,-0.05,Yes,5,No,0.18,Yes,0.01,No,72,Yes,46,Yes
5,L64,8269,11,"PROS,CED,BW,DMI,Milk,ME,CEM,Marb,YG,REA,GM",16,-2,119,Yes,16,Yes,-4.6,Yes,54,No,84,No,0.19,No,0.6,Yes,30,Yes,-2,Yes,11,No,8,Yes,17,No,0.63,Yes,-0.05,Yes,6,No,0.18,Yes,0.01,No,68,No,52,Yes
1,N46,8269,10,"CED,BW,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",16,-7,106,No,16,Yes,-4.2,Yes,53,No,76,No,0.14,No,0.44,Yes,30,Yes,-7,Yes,11,No,8,Yes,19,Yes,0.4,No,0,Yes,2,No,-0.06,No,0,Yes,84,Yes,23,No
1,C32,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",14,-2,121,Yes,14,Yes,-2.2,No,57,No,83,No,0.16,No,0.46,Yes,29,Yes,-2,Yes,10,No,8,Yes,22,Yes,0.39,No,-0.01,Yes,4,No,-0.01,No,0,Yes,96,Yes,25,No
1,E29,8269,10,"PROS,CED,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",14,-6,120,Yes,14,Yes,-2.2,No,53,No,77,No,0.15,No,0.38,Yes,29,Yes,-6,Yes,11,No,8,Yes,21,Yes,0.4,No,-0.01,Yes,2,No,-0.04,No,0,Yes,96,Yes,24,No
2,F79,8269,10,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,HB",15,-4,129,Yes,15,Yes,-3.5,Yes,58,No,89,No,0.2,No,0.52,Yes,26,No,-4,Yes,11,No,8,Yes,19,Yes,0.5,Yes,0,Yes,5,No,0.01,No,0.01,No,89,Yes,40,No
2,F83,8269,10,"CED,BW,DMI,Milk,ME,CEM,STAY,YG,FAT,HB",15,-2,107,No,15,Yes,-3.3,Yes,57,No,82,No,0.16,No,0.48,Yes,31,Yes,-2,Yes,10,No,8,Yes,19,Yes,0.4,No,-0.01,Yes,6,No,0,No,0,Yes,81,Yes,26,No
2,G11,8269,10,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,HB",16,-4,119,Yes,16,Yes,-4.3,Yes,52,No,81,No,0.18,No,0.5,Yes,28,No,-4,Yes,11,No,9,Yes,18,Yes,0.5,Yes,0,Yes,3,No,0,No,0.01,No,80,Yes,38,No
3,J40,8269,10,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,FAT,HB",15,-5,117,No,15,Yes,-3.4,Yes,53,No,80,No,0.17,No,0.38,Yes,29,Yes,-5,Yes,10,No,7,No,18,Yes,0.58,Yes,-0.06,Yes,2,No,0.11,No,0,Yes,72,Yes,45,No
4,K60,8269,10,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,FAT,HB",15,-3,115,No,15,Yes,-3.5,Yes,52,No,79,No,0.17,No,0.42,Yes,29,Yes,-3,Yes,11,No,7,No,18,Yes,0.58,Yes,0.02,Yes,4,No,-0.08,No,0,Yes,71,Yes,44,No
4,K51,8269,10,"PROS,CED,BW,DMI,ME,CEM,STAY,Marb,YG,HB",15,-4,118,Yes,15,Yes,-3.3,Yes,53,No,83,No,0.19,No,0.48,Yes,25,No,-4,Yes,11,No,8,Yes,18,Yes,0.5,Yes,0,Yes,5,No,0.01,No,0.01,No,77,Yes,42,No
1,A60,8269,9,"PROS,CED,DMI,Milk,ME,STAY,YG,FAT,HB",14,-4,119,Yes,14,Yes,-2.2,No,54,No,77,No,0.15,No,0.39,Yes,31,Yes,-4,Yes,10,No,7,No,21,Yes,0.4,No,-0.02,Yes,2,No,-0.03,No,0,Yes,95,Yes,23,No
4,K25,8269,9,"CED,BW,DMI,Milk,ME,STAY,Marb,YG,HB",15,-5,103,No,15,Yes,-3.5,Yes,58,No,83,No,0.16,No,0.48,Yes,29,Yes,-5,Yes,10,No,7,No,18,Yes,0.52,Yes,-0.01,Yes,0,No,-0.04,No,0.01,No,73,Yes,30,No
4,K43,8269,8,"CED,BW,DMI,ME,STAY,Marb,YG,HB",15,-4,106,No,15,Yes,-3.2,Yes,59,No,86,No,0.17,No,0.59,Yes,28,No,-4,Yes,10,No,7,No,18,Yes,0.52,Yes,0,Yes,3,No,0,No,0.01,No,73,Yes,33,No
2,F81,1181J,12,"PROS,CED,BW,DMI,Milk,CEM,STAY,Marb,CW,FAT,HB,GM",16,2,141,Yes,16,Yes,-3.8,Yes,57,No,94,No,0.23,No,0.56,Yes,29,Yes,2,No,10,No,8,Yes,19,Yes,0.5,Yes,0.06,No,30,Yes,0.06,No,0,Yes,74,Yes,67,Yes
2,G25,1181J,12,"PROS,CED,BW,YW,DMI,CEM,STAY,Marb,CW,FAT,HB,GM",15,1,149,Yes,15,Yes,-3,Yes,63,No,100,Yes,0.23,No,0.6,Yes,26,No,1,No,11,No,8,Yes,20,Yes,0.5,Yes,0.06,No,31,Yes,0.08,No,0,Yes,86,Yes,63,Yes
3,H42,1181J,11,"PROS,CED,BW,WW,YW,STAY,Marb,CW,FAT,HB,GM",15,1,141,Yes,15,Yes,-3.2,Yes,65,Yes,105,Yes,0.25,No,0.73,No,27,No,1,No,11,No,7,No,18,Yes,0.61,Yes,0.07,No,29,Yes,0.05,No,0,Yes,72,Yes,69,Yes
