RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,CowID,BullID,TargetsAchieved,PROS_Achieved,CED_Achieved,BW_Achieved,WW_Achieved,YW_Achieved,ADG_Achieved,DMI_Achieved,Milk_Achieved,ME_Achieved,HPG_Achieved,CEM_Achieved,STAY_Achieved,Marb_Achieved,YG_Achieved,CW_Achieved,REA_Achieved,FAT_Achieved,HB_Achieved,GM_Achieved,Round
PM2,,K06 - 9191G,HHOLLK06 - LSF SRR CONTROL 9191G,,,137,16,-4.6,47,73,0.17,0.15,26,-2,13,9,19,0.62,0.05,10,-0.05,0.01,84,54,K06,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM9,,L10 - 9191G,HHOLLL10 - LSF SRR CONTROL 9191G,,,155,16,-3.7,51,79,0.17,0.16,25,-4,13,9,20,0.64,0.06,12,-0.03,0.01,99,56,L10,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM16,,L35 - 9191G,HHOLLL35 - LSF SRR CONTROL 9191G,,,135,15,-3.7,50,77,0.17,0.28,32,-2,13,9,18,0.63,0.05,15,0.02,0.01,78,57,L35,9191G,12,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
PM23,,N56 - 9191G,HHOLLN56 - LSF SRR CONTROL 9191G,,,155,14,-2.7,57,89,0.2,0.42,30,0,13,8,22,0.64,0.05,14,0.01,0.01,101,53,N56,9191G,10,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
PM30,,N46 - 9191G,HHOLLN46 - LSF SRR CONTROL 9191G,,,141,18,-5.7,54,84,0.18,0.43,29,-3,13,10,18,0.64,0.06,14,-0.03,0.01,89,52,N46,9191G,12,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
PM37,,A60 - 9191G,HHOLLA60 - LSF SRR CONTROL 9191G,,,153,16,-3.7,54,84,0.19,0.38,30,0,13,9,21,0.64,0.05,13,0.0,0.01,100,53,A60,9191G,11,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
PM44,,C16 - 9191G,C16 - LSF SRR CONTROL 9191G,,,154,16,-4.4,55,84,0.18,0.28,25,-2,13,9,21,0.62,0.06,12,-0.03,0.01,103,50,C16,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM51,,C19 - 9191G,C19 - LSF SRR CONTROL 9191G,,,144,17,-4.7,57,87,0.19,0.43,29,-1,13,9,20,0.62,0.06,15,-0.03,0.01,94,50,C19,9191G,11,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
PM58,,C66 - 9191G,C66 - LSF SRR CONTROL 9191G,,,139,17,-4.9,55,85,0.19,0.36,26,-2,13,9,19,0.63,0.06,12,-0.04,0.01,88,51,C66,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM65,,C12 - 9191G,C12 - LSF SRR CONTROL 9191G,,,139,16,-3.7,59,89,0.19,0.45,31,1,13,8,20,0.62,0.06,13,-0.03,0.01,91,49,C12,9191G,11,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
PM72,,C14 - 9191G,C14 - LSF SRR CONTROL 9191G,,,146,16,-4.4,54,85,0.19,0.22,23,-2,13,9,19,0.63,0.06,12,-0.04,0.01,91,55,C14,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM81,,C28 - 1278J,C28 - SLB AUTHORITY 1278J,,,126,16,-3.8,54,77,0.15,0.29,31,-6,8,9,20,0.41,-0.09,13,0.14,-0.02,85,41,C28,1278J,11,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1
PM86,,C47 - 9191G,C47 - LSF SRR CONTROL 9191G,,,151,15,-3.7,55,86,0.2,0.44,30,1,13,9,21,0.63,0.06,15,0.02,0.01,96,56,C47,9191G,11,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1
PM93,,C32 - 9191G,C32 - LSF SRR CONTROL 9191G,,,155,16,-3.8,58,90,0.2,0.45,28,2,13,10,21,0.63,0.05,15,0.02,0.01,101,54,C32,9191G,10,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
PM100,,C17 - 9191G,C17 - LSF SRR CONTROL 9191G,,,152,16,-4.5,58,90,0.2,0.4,26,-2,13,10,20,0.65,0.06,15,0.0,0.01,96,56,C17,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM107,,D29 - 9191G,D29 - LSF SRR CONTROL 9191G,,,146,17,-4.8,53,83,0.19,0.33,25,-1,13,10,19,0.68,0.07,11,0.0,0.02,88,57,D29,9191G,10,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
PM114,,D19 - 9191G,D19 - LSF SRR CONTROL 9191G,,,147,18,-5.3,51,80,0.19,0.32,26,-2,13,11,18,0.68,0.07,11,0.0,0.02,90,57,D19,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM125,,D10 - Z124G,D10 - LASO SPLASH Z124G,,,131,15,-3.1,50,77,0.17,0.28,24,-3,10,8,19,0.55,-0.11,9,0.33,0.0,78,53,D10,Z124G,13,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1
PM128,,D23 - 9191G,D23 - LSF SRR CONTROL 9191G,,,149,17,-4.9,50,79,0.18,0.32,26,-2,14,10,19,0.69,0.07,10,-0.03,0.02,93,57,D23,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
PM135,,E29 - 9191G,E29 - LSF SRR CONTROL 9191G,,,155,16,-3.8,54,84,0.19,0.37,28,-2,13,10,21,0.63,0.05,14,0.0,0.01,101,54,E29,9191G,11,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
