Trait,Target,Achieved,Difference
CED,14.0,14.791044776119403,0.7910447761194028
BW,-3.0,-2.8582089552238803,0.1417910447761197
WW,65.0,54.492537313432834,-10.507462686567166
YW,100.0,87.2089552238806,-12.791044776119406
ADG,0.28,0.2055223880597015,-0.07447761194029853
DMI,0.6,0.46895522388059707,-0.1310447761194029
Milk,29.0,24.388059701492537,-4.611940298507463
ME,-2.0,-2.1641791044776117,-0.16417910447761175
HPG,12.0,10.925373134328359,-1.0746268656716413
CEM,8.0,7.880597014925373,-0.11940298507462721
STAY,18.0,17.865671641791046,-0.13432835820895406
Marb,0.5,0.49,-0.010000000000000009
YG,0.03,-0.014179104477611938,-0.04417910447761193
CW,29.0,10.73134328358209,-18.268656716417908
REA,0.17,0.1073134328358209,-0.06268656716417911
FAT,0.0,0.0047761194029850755,0.0047761194029850755
HB,70.0,73.83582089552239,3.8358208955223887
GM,46.0,49.08955223880597,3.0895522388059717
